,Country,Code,year_and_week,case_incidence_per_100k,death_incidence_per_100k,percent_vaccinated
10269,Papua New Guinea,PNG,2021-W25,1.7171383940697325,0.0,0.0
10270,Papua New Guinea,PNG,2021-W26,0.0,0.0,0.0
10271,Papua New Guinea,PNG,2021-W27,2.5184696446356076,0.062441396147990276,0.0
10272,Papua New Guinea,PNG,2021-W28,0.0,0.0,0.0
10273,Papua New Guinea,PNG,2021-W29,3.0908491093255184,0.13528969165397892,0.0
10274,Papua New Guinea,PNG,2021-W30,0.8325519486398703,0.0,0.08
10275,Papua New Guinea,PNG,2021-W31,0.5931932634059076,0.0,0.17
10276,Papua New Guinea,PNG,2021-W32,0.33302077945594816,0.0,0.17
10277,Papua New Guinea,PNG,2021-W33,0.27057938330795783,0.0,0.21
10278,Papua New Guinea,PNG,2021-W34,0.062441396147990276,0.0,0.21
10279,Papua New Guinea,PNG,2021-W35,0.9158071435038573,0.0,0.29
10280,Papua New Guinea,PNG,2021-W36,4.7351392078892625,0.04162759743199352,0.31
10281,Papua New Guinea,PNG,2021-W37,1.675510796637739,0.08325519486398704,0.4
10282,Papua New Guinea,PNG,2021-W38,10.20916827019641,0.23935868523396273,0.4
10283,Papua New Guinea,PNG,2021-W39,11.957527362340137,0.07284829550598865,0.44
10284,Papua New Guinea,PNG,2021-W40,24.497841088728187,0.11447589293798216,0.6
10285,Papua New Guinea,PNG,2021-W41,10.563002848368354,0.21854488651796594,0.6
10286,Papua New Guinea,PNG,2021-W42,37.319141097782186,0.7180760557018881,0.6
10287,Papua New Guinea,PNG,2021-W43,21.729605859500612,0.36424147752994324,1.05
10288,Papua New Guinea,PNG,2021-W44,18.35777046750914,0.38505527624594,1.05
10289,Papua New Guinea,PNG,2021-W45,15.339769653689611,0.30180008138195297,1.05
10290,Papua New Guinea,PNG,2021-W46,15.495873144059585,0.5203449678999189,1.05
10291,Papua New Guinea,PNG,2021-W47,6.108849923145049,0.6140070621219044,1.79
10292,Papua New Guinea,PNG,2021-W48,5.297111773221175,0.05203449678999189,1.95
10293,Papua New Guinea,PNG,2021-W49,4.048283850261369,0.3746483768879416,1.95
10294,Papua New Guinea,PNG,2021-W50,0.8013312505658752,0.031220698073995138,2.13
10295,Papua New Guinea,PNG,2021-W51,1.103131331947828,0.0,2.17
10296,Papua New Guinea,PNG,2021-W52,0.8325519486398703,0.01040689935799838,2.17
10297,Papua New Guinea,PNG,2022-W01,1.737952192785729,0.01040689935799838,2.21
10298,Papua New Guinea,PNG,2022-W02,0.8117381499238735,0.05203449678999189,2.23
10299,Papua New Guinea,PNG,2022-W03,0.11447589293798216,0.0,2.24
10300,Papua New Guinea,PNG,2022-W04,4.370897730359319,0.01040689935799838,2.27
10301,Papua New Guinea,PNG,2022-W05,5.453215263591151,0.0,2.28
10302,Papua New Guinea,PNG,2022-W06,11.353927199576232,0.13528969165397892,2.31
10303,Papua New Guinea,PNG,2022-W07,1.977310878019692,0.0,2.34
10304,Poland,POL,2020-W01,0.0,0.0,0.0
10305,Poland,POL,2020-W02,0.0,0.0,0.0
10306,Poland,POL,2020-W03,0.0,0.0,0.0
10307,Poland,POL,2020-W04,0.0,0.0,0.0
10308,Poland,POL,2020-W05,0.0,0.0,0.0
10309,Poland,POL,2020-W06,0.0,0.0,0.0
10310,Poland,POL,2020-W07,0.0,0.0,0.0
10311,Poland,POL,2020-W08,0.0,0.0,0.0
10312,Poland,POL,2020-W09,0.0,0.0,0.0
10313,Poland,POL,2020-W10,0.028973692545661553,0.0,0.0
10314,Poland,POL,2020-W11,0.28446898135740434,0.007901916148816787,0.0
10315,Poland,POL,2020-W12,1.3564956055468818,0.010535888198422381,0.0
10316,Poland,POL,2020-W13,3.2345176769156714,0.039509580744083936,0.0
10317,Poland,POL,2020-W14,5.900097391116534,0.1896459875716029,0.0
10318,Poland,POL,2020-W15,6.774576111585592,0.3634881428455722,0.0
10319,Poland,POL,2020-W16,6.882568965619422,0.3371484223495162,0.0
10320,Poland,POL,2020-W17,6.137154875581039,0.46094510868097927,0.0
10321,Poland,POL,2020-W18,5.468125974981217,0.37665800309360015,0.0
10322,Poland,POL,2020-W19,6.066037630241686,0.3213445900518827,0.0
10323,Poland,POL,2020-W20,6.6718512016509735,0.32924650620069945,0.0
10324,Poland,POL,2020-W21,7.367219822746851,0.18701201552199728,0.0
10325,Poland,POL,2020-W22,6.479571242029765,0.1791100993731805,0.0
10326,Poland,POL,2020-W23,7.309272437655528,0.2449594006133204,0.0
10327,Poland,POL,2020-W24,7.456774872433441,0.2370574844645036,0.0
10328,Poland,POL,2020-W25,6.687655033948608,0.2871029534070099,0.0
10329,Poland,POL,2020-W26,5.204728770020657,0.21598570806765882,0.0
10330,Poland,POL,2020-W27,5.381204897344232,0.20808379191884205,0.0
10331,Poland,POL,2020-W28,5.112539748284461,0.14223449067870217,0.0
10332,Poland,POL,2020-W29,5.828980145777183,0.13960051862909656,0.0
10333,Poland,POL,2020-W30,7.799191238882169,0.123796686331463,0.0
10334,Poland,POL,2020-W31,10.085478977939825,0.15803832297633574,0.0
10335,Poland,POL,2020-W32,12.898561126918601,0.20018187577002525,0.0
10336,Poland,POL,2020-W33,12.88802523872018,0.1843780434723917,0.0
10337,Poland,POL,2020-W34,13.375310067897216,0.20544981986923647,0.0
10338,Poland,POL,2020-W35,13.454329229385383,0.20544981986923647,0.0
10339,Poland,POL,2020-W36,10.414725484140526,0.22915556831568681,0.0
10340,Poland,POL,2020-W37,8.765858981087423,0.1791100993731805,0.0
10341,Poland,POL,2020-W38,13.401649788393271,0.27656706520858754,0.0
10342,Poland,POL,2020-W39,21.30883388130927,0.36612211489517776,0.0
10343,Poland,POL,2020-W40,33.56733980017371,0.521526465821908,0.0
10344,Poland,POL,2020-W41,67.80370850094724,0.9851055465524927,0.0
10345,Poland,POL,2020-W42,131.5669038777995,1.4987300962255838,0.0
10346,Poland,POL,2020-W43,205.24437004936723,2.2783858229088403,0.0
10347,Poland,POL,2020-W44,332.4441482689206,3.5426924067195262,0.0
10348,Poland,POL,2020-W45,438.6169276164726,5.502367611626089,0.0
10349,Poland,POL,2020-W46,438.6801429456631,6.521714794823455,0.0
10350,Poland,POL,2020-W47,390.7734593074365,8.613088602210299,0.0
10351,Poland,POL,2020-W48,325.9382373063948,8.984478661204687,0.0
10352,Poland,POL,2020-W49,206.43492541578897,8.059954471793121,0.0
10353,Poland,POL,2020-W50,190.24389922686336,7.309272437655528,0.0
10354,Poland,POL,2020-W51,176.53934265276544,6.6718512016509735,0.0
10355,Poland,POL,2020-W52,145.1292259612187,4.53306589737123,0.0
10356,Poland,POL,2020-W53,160.0480436501848,5.270578071260797,0.0
10357,Poland,POL,2021-W01,176.37076844159068,5.452322142683583,0.0
10358,Poland,POL,2021-W02,131.8566408032561,5.7051834594457205,0.0
10359,Poland,POL,2021-W03,104.99802781342787,5.289015875608036,0.12
10360,Poland,POL,2021-W04,99.9328995620363,4.785927214133367,0.5
10361,Poland,POL,2021-W05,97.11454946895832,5.022984698597871,1.13
10362,Poland,POL,2021-W06,101.93471831973656,4.530431925321624,1.62
10363,Poland,POL,2021-W07,131.20341573495392,3.5927378756620323,2.33
10364,Poland,POL,2021-W08,179.6869392520441,4.209087335269742,2.98
10365,Poland,POL,2021-W09,231.5998943777208,3.993101627202083,3.57
10366,Poland,POL,2021-W10,294.262089437838,4.986109089903393,4.03
10367,Poland,POL,2021-W11,400.1477658319829,5.589288689263074,4.48
10368,Poland,POL,2021-W12,506.8842151981504,6.806183776180858,5.0
10369,Poland,POL,2021-W13,494.0040918755791,8.052052555644305,5.2
10370,Poland,POL,2021-W14,358.4546222587759,9.166222732627473,5.29
10371,Poland,POL,2021-W15,298.6766265929769,9.511273071125805,5.64
10372,Poland,POL,2021-W16,186.56687424561395,8.91072744381573,6.47
10373,Poland,POL,2021-W17,116.88777764534751,6.987927847603645,7.43
10374,Poland,POL,2021-W18,78.54241254718926,5.120441664433278,9.21
10375,Poland,POL,2021-W19,55.384530287056855,4.351321825948444,11.49
10376,Poland,POL,2021-W20,30.40393936859739,3.3293406707014728,14.04
10377,Poland,POL,2021-W21,16.667775129904207,2.1335173601805324,17.23
10378,Poland,POL,2021-W22,8.391834950043428,1.0904644285367167,20.63
10379,Poland,POL,2021-W23,6.145056791729854,1.1089022328839557,24.46
10380,Poland,POL,2021-W24,3.418895720388063,0.6716628726494269,28.08
10381,Poland,POL,2021-W25,2.2941896552064738,0.3977297794904449,31.82
10382,Poland,POL,2021-W26,1.6646703353507364,0.27656706520858754,34.88
10383,Poland,POL,2021-W27,1.4513185993326831,0.20018187577002525,38.09
10384,Poland,POL,2021-W28,1.588285145912174,0.14486846272830775,40.68
10385,Poland,POL,2021-W29,1.9017278198152399,0.07111724533935108,42.62
10386,Poland,POL,2021-W30,2.325797319801741,0.05004546894250631,43.9
10387,Poland,POL,2021-W31,2.8157161210283816,0.0632153291905343,44.82
10388,Poland,POL,2021-W32,3.252955481262911,0.03687560869447834,45.6
10389,Poland,POL,2021-W33,3.5953718477116383,0.04477752484329513,46.31
10390,Poland,POL,2021-W34,4.037879152045378,0.0632153291905343,46.97
10391,Poland,POL,2021-W35,5.934339027761407,0.10272490993461823,47.52
10392,Poland,POL,2021-W36,8.33652153700171,0.1211627142818574,47.94
10393,Poland,POL,2021-W37,11.289204204609582,0.16594023912515252,48.28
10394,Poland,POL,2021-W38,13.95741789086005,0.22125365216687,48.61
10395,Poland,POL,2021-W39,20.102474682589907,0.32397856210148823,49.0
10396,Poland,POL,2021-W40,30.382867592200544,0.45831113663137363,49.03
10397,Poland,POL,2021-W41,45.27534556067058,0.6400552080541597,49.5
10398,Poland,POL,2021-W42,87.80872621770175,0.8823806366178745,49.76
10399,Poland,POL,2021-W43,137.80941763536478,1.4539525713822887,50.09
10400,Poland,POL,2021-W44,208.0126746735027,1.9965508136010415,50.33
10401,Poland,POL,2021-W45,264.1742267151932,2.923708975062211,50.55
10402,Poland,POL,2021-W46,371.05554454408906,5.149415356978939,50.85
10403,Poland,POL,2021-W47,427.862419737933,5.834248089876394,51.2
10404,Poland,POL,2021-W48,430.89938951112816,6.948418266859561,51.5
10405,Poland,POL,2021-W49,413.07793462349673,7.38565762709409,51.91
10406,Poland,POL,2021-W50,343.97567790209393,7.917719981114421,52.29
10407,Poland,POL,2021-W51,239.68618857001,7.485748564979103,52.49
10408,Poland,POL,2021-W52,204.36989132889818,8.59991874196227,52.81
10409,Poland,POL,2022-W01,225.91314872262234,5.66303990665203,53.29
10410,Poland,POL,2022-W02,262.9731354605731,6.750870363139141,53.78
10411,Poland,POL,2022-W03,540.4436530821753,4.053682984343012,54.17
10412,Poland,POL,2022-W04,880.9556577390379,3.4689411893305695,54.51
10413,Poland,POL,2022-W05,819.4366065484496,3.782383863233635,54.88
10414,Poland,POL,2022-W06,626.4507424179468,4.011539431549322,55.19
10415,Poland,POL,2022-W07,94.10655338830873,1.0404189595942104,55.26
10416,Portugal,PRT,2020-W01,0.0,0.0,0.0
10417,Portugal,PRT,2020-W02,0.0,0.0,0.0
10418,Portugal,PRT,2020-W03,0.0,0.0,0.0
10419,Portugal,PRT,2020-W04,0.0,0.0,0.0
10420,Portugal,PRT,2020-W05,0.0,0.0,0.0
10421,Portugal,PRT,2020-W06,0.0,0.0,0.0
10422,Portugal,PRT,2020-W07,0.0,0.0,0.0
10423,Portugal,PRT,2020-W08,0.0,0.0,0.0
10424,Portugal,PRT,2020-W09,0.0,0.0,0.0
10425,Portugal,PRT,2020-W10,0.2916511078902027,0.0,0.0
10426,Portugal,PRT,2020-W11,2.090166273213119,0.0,0.0
10427,Portugal,PRT,2020-W12,13.172908373040821,0.13610385034876124,0.0
10428,Portugal,PRT,2020-W13,42.406071087235475,1.0207788776157094,0.0
10429,Portugal,PRT,2020-W14,51.68057631814391,1.7110198329558557,0.0
10430,Portugal,PRT,2020-W15,51.59308098577686,2.031836051635079,0.0
10431,Portugal,PRT,2020-W16,35.20228872234747,2.041557755231419,0.0
10432,Portugal,PRT,2020-W17,35.561991755412045,1.837401979708277,0.0
10433,Portugal,PRT,2020-W18,13.785375699610247,1.3610385034876127,0.0
10434,Portugal,PRT,2020-W19,22.35019656798587,0.8943967308632883,0.0
10435,Portugal,PRT,2020-W20,14.14507873267483,0.8069013984962276,0.0
10436,Portugal,PRT,2020-W21,15.428343607391723,0.9527269524413288,0.0
10437,Portugal,PRT,2020-W22,18.24763765033035,0.9138401380559684,0.0
10438,Portugal,PRT,2020-W23,21.319695986773816,0.6707975481474662,0.0
10439,Portugal,PRT,2020-W24,19.41424208189116,0.3694247366609234,0.0
10440,Portugal,PRT,2020-W25,23.75012188585884,0.12638214675242115,0.0
10441,Portugal,PRT,2020-W26,24.430641137602645,0.33053792227556306,0.0
10442,Portugal,PRT,2020-W27,21.88355479536154,0.48608517981700444,0.0
10443,Portugal,PRT,2020-W28,25.422254904429334,0.44719836543164415,0.0
10444,Portugal,PRT,2020-W29,20.64889843862635,0.2819294042938626,0.0
10445,Portugal,PRT,2020-W30,14.854763095207657,0.2722077006975225,0.0
10446,Portugal,PRT,2020-W31,12.628492971645777,0.2041557755231419,0.0
10447,Portugal,PRT,2020-W32,11.714652833589808,0.17499066473412161,0.0
10448,Portugal,PRT,2020-W33,13.940922957151688,0.21387747911948196,0.0
10449,Portugal,PRT,2020-W34,14.533946876528434,0.17499066473412161,0.0
10450,Portugal,PRT,2020-W35,21.105818507654334,0.22359918271582208,0.0
10451,Portugal,PRT,2020-W36,24.207041954886822,0.2041557755231419,0.0
10452,Portugal,PRT,2020-W37,36.21334589636683,0.2624859971011824,0.0
10453,Portugal,PRT,2020-W38,44.66150632158637,0.43747666183530404,0.0
10454,Portugal,PRT,2020-W39,48.87100397880164,0.39858984744994364,0.0
10455,Portugal,PRT,2020-W40,53.92628984889848,0.5055285870096846,0.0
10456,Portugal,PRT,2020-W41,73.0391591193031,0.7291277697255066,0.0
10457,Portugal,PRT,2020-W42,128.78340754071718,0.9818920632303489,0.0
10458,Portugal,PRT,2020-W43,182.52498502128518,1.312429985505912,0.0
10459,Portugal,PRT,2020-W44,249.410305764105,2.2165484199655405,0.0
10460,Portugal,PRT,2020-W45,340.0943569107653,3.4220396659117114,0.0
10461,Portugal,PRT,2020-W46,369.2011374782076,4.715026244224944,0.0
10462,Portugal,PRT,2020-W47,422.47607318615127,5.016399055711486,0.0
10463,Portugal,PRT,2020-W48,330.936512123013,5.152502906060247,0.0
10464,Portugal,PRT,2020-W49,269.048147028712,5.210833127638288,0.0
10465,Portugal,PRT,2020-W50,255.38915347585416,5.794135343418693,0.0
