French Polynesia,PYF,279034
Qatar,QAT,2638657
Romania,ROU,19371648
Russian Federation,RUS,145453291
Rwanda,RWA,12776103
South Asia,SAS,1605412986
Saudi Arabia,SAU,30063799
Sudan,SDN,45548175
Senegal,SEN,16352922
Singapore,SGP,5703569
Solomon Islands,SLB,728147
Sierra Leone,SLE,7731991
El Salvador,SLV,6222318
San Marino,SMR,34663
Somalia,SOM,16030971
Serbia,SRB,6945235
Sub-Saharan Africa (excluding high income),SSA,1023480610
South Sudan,SSD,10423384
Sub-Saharan Africa,SSF,1139315618
Small states,SST,19293697
Sao Tome and Principe,STP,213392
Suriname,SUR,605768
Slovak Republic,SVK,5454147
Slovenia,SVN,2088385
Sweden,SWE,10278887
Eswatini,SWZ,1179874
Sint Maarten (Dutch part),SXM,40385
Seychelles,SYC,97625
Syrian Arab Republic,SYR,20353534
Turks and Caicos Islands,TCA,43166
Chad,TCD,16685223
East Asia & Pacific (IDA & IBRD countries),TEA,2086281644
Europe & Central Asia (IDA & IBRD countries),TEC,462219596
Togo,TGO,8463068
Thailand,THA,71522271
Tajikistan,TJK,9529966
Turkmenistan,TKM,6803944
Latin America & the Caribbean (IDA & IBRD countries),TLA,625467307
Timor-Leste,TLS,1300945
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,675805691
Tonga,TON,105669
South Asia (IDA & IBRD),TSA,1605412986
Sub-Saharan Africa (IDA & IBRD countries),TSS,1139315618
Trinidad and Tobago,TTO,1363985
Tunisia,TUN,11875081
Turkiye,TUR,82579440
Tuvalu,TUV,10581
Tanzania,TZA,59174891
Uganda,UGA,42999637
Ukraine,UKR,44957458
Upper middle income,UMC,2770250954
Uruguay,URY,3397206
United States,USA,330226227
Uzbekistan,UZB,32964701
St. Vincent and the Grenadines,VCT,104167
"Venezuela, RB",VEN,28938098
British Virgin Islands,VGB,36395
Virgin Islands (U.S.),VIR,106669
Viet Nam,VNM,97173776
Vanuatu,VUT,291985
World,WLD,7778303912
Samoa,WSM,209780
Kosovo,XKX,1788891
"Yemen, Rep.",YEM,35111408
South Africa,ZAF,59587885
Zambia,ZMB,18513839
Zimbabwe,ZWE,15271368
